day_of_week,hour_of_day,is_weekend,temperature,is_holiday,solar_generation,Previous_1_hour_demand,Previous_3_hour_demand,rolling_mean_3,rolling_std_3,electricity_demand,label
6,2,true,14.13,0,7.321131802411008,525,616,546,50.80026246651356,552.3168761986169,Normal Operation
6,2,true,14.13,0,7.321131802411008,525,616,546,50.80026246651356,552.3168761986169,Normal Operation
6,2,true,14.13,0,7.321131802411008,525,616,546,50.80026246651356,552.3168761986169,Normal Operation
6,6,true,10.43,0,7.321131802411008,537.7886,600.85,504,65.80026246651356,429.3168761986169,Normal Operation
6,7,true,10.63,0,196.86692877926768,505,616,546,50.80026246651356,443.3080224430593,Normal Operation
6,8,true,11.63,0,196.86692877926768,510,505,546,50.80026246651356,465.5002024430593,Normal Operation
6,10,true,17.38,0,192.7043133464083,525,616,546,50.80026246651356,525.8231354711111,Normal Operation
6,13,true,23.31,0,179.47388642467178,525,616,546,50.80026246651356,531.9864548430768,Normal Operation
6,13,true,23.31,0,179.47388642467178,525,443,477.6666666666667,34.65384378231207,459.78663315544117,Normal Operation
6,13,true,23.31,0,179.47388642467178,459,525,505,32.61901286060018,522.9207403904022,Normal Operation
6,13,true,23.31,0,179.47388642467178,522,531,504,32.03123475609393,489.66799195310693,Normal Operation
6,13,true,23.31,0,179.47388642467178,489,459,490,25.729360660537214,488.47043314953396,Normal Operation
6,13,true,23.31,0,179.47388642467178,488,522,499.6666666666667,15.797327481430381,502.60178026615677,Normal Operation
6,13,true,23.31,0,179.47388642467178,502,489,493,6.377042156569663,485.95867209031775,Normal Operation
6,13,true,14.13,0,179.47388642467178,525,616,546,50.80026246651356,531.2493329077903,Normal Operation
6,13,true,14.13,0,179.47388642467178,485,488,491.6666666666667,7.408703590297623,490.77539740681016,Normal Operation
6,13,true,14.13,0,179.47388642467178,525,616,546,50.80026246651356,531.2493329077903,Normal Operation
6,13,true,14.13,0,179.47388642467178,525,616,546,50.80026246651356,531.2493329077903,Normal Operation
6,13,true,14.13,0,179.47388642467178,525,616,546,50.80026246651356,531.2493329077903,Normal Operation
6,13,true,14.13,0,179.47388642467178,531,490,517.3333333333334,19.327585352432298,509.04621112582055,Normal Operation
6,13,true,14.13,0,179.47388642467178,525,616,546,50.80026246651356,531.2493329077903,Normal Operation
6,13,true,14.13,0,179.47388642467178,509,531,523.6666666666666,10.370899457402697,525.9142721689165,Normal Operation
6,13,true,14.13,0,179.47388642467178,525,509,521.6666666666666,9.285592184789413,512.7536124807409,Normal Operation
